ID,date,tipstar,observed
1_2015,2015-10-06,49107.5555123434,65100
1_2016,2016-08-28,40874.0206895943,46600
1_2018,2018-10-18,24182.0242185981,41200
10_2019,2019-10-25,24228.1722073273,71000
100_2015,2015-10-14,44049.3863006387,69100
101_2015,2015-10-26,42613.0454264291,83300
103_2020,2020-10-17,42653.8223149784,48100
17_2019,2019-10-06,22626.1125265851,55300
18_2019,2019-10-07,22630.4251598737,51100
19_2019,2019-10-09,24090.4306105072,50700
2_2015,2015-11-13,49491.6737857358,67600
21_2020,2020-10-28,27086.7746937993,43500
22_2020,2020-10-04,43895.3512401786,49500
23_2020,2020-10-04,40394.3671745177,56200
27_2016,2016-10-14,37141.5056905998,73100
27_2020,2020-10-15,40420.9718340126,62300
28_2015,2015-10-20,50143.7724371408,78400
28_2018,2018-10-10,19548.8948232243,37400
28_2019,2019-11-11,24661.8796794105,46300
29_2018,2018-10-11,17847.7078477101,27700
29_2019,2019-11-13,26533.9404862139,51500
3_2019,2019-10-26,21249.6849487813,43300
30_2016,2016-09-20,53028.4405661506,57000
30_2020,2020-09-30,35166.7291528647,52000
302_2019,2019-10-23,20565.6801163641,62000
305_2020,2020-10-20,42160.4972320685,69200
307_2016,2016-10-20,49073.2768775332,78900
40_2020,2020-10-23,35268.2330986049,39900
402_2016,2016-10-13,55359.6210382688,72400
41_2020,2020-10-19,27836.3989562568,40900
44_2016,2016-10-10,52543.9970046812,70800
46_2015,2015-11-04,47884.8144643413,68500
46_2016,2016-10-12,49239.0271442135,65600
46_2020,2020-10-16,37644.4785152447,39700
48_2016,2016-11-07,35677.2972006788,67450
48_2019,2019-11-14,28907.8552238103,54000
49_2016,2016-10-18,31805.0375441887,72900
49_2019,2019-10-05,22715.8315410514,49600
50_2015,2015-10-27,44210.3409839445,58600
50_2018,2018-10-04,19249.2088688836,28000
51_2015,2015-10-05,49004.8954010641,57000
52_2015,2015-10-03,45046.9227241325,62100
52_2018,2018-08-31,19189.2840518129,31500
59_2018,2018-10-19,19437.8935316219,52500
59_2020,2020-10-15,41819.9269251074,49200
6_2019,2019-09-13,23826.5778468718,47000
60_2016,2016-08-29,30534.0087864127,67500
61_2015,2015-10-25,54909.8376466237,74400
63_2019,2019-10-29,20068.2842279861,61400
64_2020,2020-09-30,40648.2841828774,45400
65_2015,2015-11-02,49548.903450955,71800
65_2018,2018-10-25,19482.0747034379,43200
7_2019,2019-09-25,23991.3415910328,48100
70_2020,2020-10-07,44389.4994286171,49900
71_2020,2020-10-02,43375.5933794601,47500
728_2016,2016-10-04,54400.6780426784,66100
734_2020,2020-09-25,39706.7400354513,62300
736_2019,2019-10-14,24945.9067995525,51300
75_2019,2019-10-28,27768.1197149866,39150
78_2018,2018-10-13,17653.739139335,36100
8_2015,2015-10-21,49665.4585382724,85100
8_2018,2018-08-28,7063.89197982382,29100
80_2019,2019-10-10,23214.2621301363,40200
81_2019,2019-10-16,23890.4076954372,65400
82_2015,2015-10-01,42167.4904237264,77000
82_2019,2019-10-16,24912.8885516358,64100
83_2015,2015-10-01,42845.6008763137,78100
83_2019,2019-10-25,17144.0136116932,59700
84_2019,2019-10-15,18244.9286321536,54100
85_2019,2019-10-04,18137.3102327198,63600
86_2016,2016-08-24,44232.3046075487,61600
87_2016,2016-10-25,47936.1039156374,68700
88_2016,2016-10-26,48281.7490713438,68500
9_2018,2018-10-09,19520.8285239839,38200
90_2020,2020-09-28,43365.1174993862,66000
91_2019,2019-10-14,23844.2170996397,53100
93_2015,2015-10-24,55380.7427024312,70000
DRV00T1,2000-09-20,31675.9942005274,40938
DRV00T10,2000-09-20,70503.959421498,62271
DRV00T11,2000-09-20,70504.9180106895,63160
DRV00T12,2000-09-20,70337.8866661033,59851
DRV00T13,2000-09-20,70387.5154563137,60938
DRV00T14,2000-09-20,70437.8884237515,58666
DRV00T15,2000-10-18,66475.0735713698,71604
DRV00T16,2000-10-18,66556.4501147629,76098
DRV00T17,2000-10-18,66585.424102621,82863
DRV00T18,2000-10-18,66403.3382078922,68789
DRV00T19,2000-10-18,66523.4893423903,75259
DRV00T2,2000-09-20,69762.9446758832,55555
DRV00T20,2000-10-18,66531.1640578598,78221
DRV00T3,2000-09-20,70493.5970143949,59703
DRV00T4,2000-09-20,70539.8189049661,58962
DRV00T5,2000-10-18,32892.8513418349,49234
DRV00T6,2000-10-18,66334.2994460597,60345
DRV00T7,2000-10-18,66546.0420063406,64839
DRV00T8,2000-10-18,66591.2142633982,73135
DRV00T9,2000-09-20,70464.5433540492,61580
DRV96T1,1996-09-13,21046.6323107926,55441
DRV96T2,1996-09-13,42674.3420243251,68125
DRV96T3,1996-09-13,42938.5777770623,65046
DRV96T4,1996-09-06,22301.9189959771,50343
DRV96T5,1996-09-06,35483.4299010411,58790
DRV96T6,1996-09-06,35537.7148604847,66869
DRV97T1,1997-09-16,30627.403789885,49234
